CustomerID,Recency,Frequency,Monetary,Recency_capped,Frequency_capped,Monetary_capped,R_Score,F_Score,M_Score,RFM_Score,Recency_scaled,Frequency_scaled,Monetary_scaled
12820,3,4,942.34,3.0,4.0,942.34,5,1,4,514,-0.8153537405751714,-0.17577373896419216,-0.35604112054799714
12822,70,2,948.88,70.0,2.0,948.88,3,1,4,314,-0.029844256074835592,-0.5537541314120602,-0.35367648603487506
12824,59,1,397.12,59.0,1.0,397.12,3,1,2,312,-0.15880849979877132,-0.7427443276359943,-0.5531735409217635
12826,2,7,1474.72,2.0,7.0,1474.72,5,2,4,524,-0.8270777627318928,0.39119684970761004,-0.16355119362201181
12827,5,3,430.15000000000003,5.0,3.0,430.15000000000003,5,1,2,512,-0.7919056962617286,-0.3647639351881262,-0.541231051935766
12828,2,6,1018.71,2.0,6.0,1018.71,5,1,4,514,-0.8270777627318928,0.20220665348367597,-0.32842840835118753
12832,32,2,383.03,32.0,2.0,383.03,4,1,2,412,-0.47535709803024995,-0.5537541314120602,-0.5582679905073736
12833,145,1,417.38,145.0,1.0,417.38,2,1,2,212,0.8494574056792716,-0.7427443276359943,-0.5458482358398287
12834,282,1,312.38,282.0,1.0,312.38,1,1,2,112,2.4556484411501076,-0.7427443276359943,-0.5838125514174771
12838,33,2,683.13,33.0,2.0,683.13,3,1,3,313,-0.4636330758735285,-0.5537541314120602,-0.44976236093735183
12842,70,2,1118.99,70.0,2.0,1118.99,3,1,4,314,-0.029844256074835592,-0.5537541314120602,-0.292170679149982
12844,29,2,325.96000000000004,29.0,2.0,325.96000000000004,4,1,2,412,-0.5105291645004142,-0.5537541314120602,-0.5789024999361012
12845,267,4,354.09,267.0,4.0,354.09,1,1,2,112,2.2797881087992864,-0.17577373896419216,-0.5687316790103941
12847,22,1,871.54,22.0,1.0,871.54,4,1,3,413,-0.5925973195974642,-0.7427443276359943,-0.3816399161946401
12849,31,2,1050.8899999999999,31.0,2.0,1050.8899999999999,4,1,4,414,-0.48708112018697136,-0.5537541314120602,-0.316793249538914
12852,294,1,311.55,294.0,1.0,311.55,1,1,2,112,2.596336707030765,-0.7427443276359943,-0.5841126502929956
12854,78,3,1324.5,78.0,3.0,1324.5,2,1,4,214,0.06394792117893584,-0.3647639351881262,-0.2178654744417675
12857,210,2,1106.4,210.0,2.0,1106.4,1,1,4,114,1.6115188458661647,-0.5537541314120602,-0.29672278137019714
12863,52,1,521.2,52.0,1.0,521.2,3,1,3,313,-0.24087665489582133,-0.7427443276359943,-0.508310566856291
12871,84,2,380.64,84.0,2.0,380.64,2,1,2,212,0.13429205411926443,-0.5537541314120602,-0.559132130642903
12872,326,2,599.97,326.0,2.0,599.97,1,1,3,113,2.9715054160458507,-0.5537541314120602,-0.4798300988748494
12873,282,1,374.0,282.0,1.0,374.0,1,1,2,112,2.4556484411501076,-0.7427443276359943,-0.5615329216470515
12875,143,2,343.2300000000001,143.0,2.0,343.2300000000001,2,1,2,212,0.8260093613658288,-0.5537541314120602,-0.5726582739358538
12877,3,12,1535.77,3.0,12.0,1535.77,5,2,4,524,-0.8153537405751714,1.3361478308272803,-0.14147765585043626
12878,236,2,854.99,236.0,2.0,854.99,1,1,3,113,1.9163434219409219,-0.5537541314120602,-0.38762381545949803
12879,44,3,573.22,44.0,3.0,573.22,3,1,3,313,-0.33466883214959275,-0.3647639351881262,-0.4895019602243932
12882,9,2,1463.04,9.0,2.0,1463.04,5,1,4,514,-0.7450096076348428,-0.5537541314120602,-0.16777427177388737
12883,24,4,703.47,24.0,4.0,703.47,4,1,3,413,-0.5691492752840214,-0.17577373896419216,-0.442408130662596
12884,88,1,309.05,88.0,1.0,309.05,2,1,2,212,0.18118814274615014,-0.7427443276359943,-0.585016562568654
12885,63,3,1175.22,63.0,3.0,1175.22,3,1,4,314,-0.11191241117188559,-0.3647639351881262,-0.27183988424587563
12886,67,2,1378.4,67.0,2.0,1378.4,3,1,4,314,-0.06501632254499988,-0.5537541314120602,-0.19837712577857458
12888,214,2,354.12,214.0,2.0,354.12,1,1,2,112,1.6584149344930506,-0.5537541314120602,-0.5687208320630862
12890,24,1,380.46999999999997,24.0,1.0,380.46999999999997,4,1,2,412,-0.5691492752840214,-0.7427443276359943,-0.5591935966776478
12891,185,3,331.0,185.0,3.0,331.0,1,1,2,112,1.3184182919481289,-0.3647639351881262,-0.5770802127883742
12895,42,2,372.8,42.0,2.0,372.8,3,1,2,312,-0.35811687646303564,-0.5537541314120602,-0.5619667995393675
12904,18,2,509.58,18.0,2.0,509.58,4,1,3,413,-0.63949340822435,-0.5537541314120602,-0.5125119511135507
12908,176,2,750.0,176.0,2.0,750.0,2,1,3,213,1.212902092537636,-0.5537541314120602,-0.4255845153880438
12915,148,2,363.65,148.0,2.0,363.65,2,1,2,212,0.8846294721494359,-0.5537541314120602,-0.5652751184682767
