transaction_id,customer_id,product_id,category,brand,date,quantity,unit_price,total_price
T0000001,C04500,Oscar PET Fridge Plastic Water Bottle - Blue,"Kitchen, Garden & Pets",Milton,2024-05-04,2,87.0,174.0
T0000002,C04500,"Water Flask - Insulated Thermosteel, Flip Lid , Silver","Kitchen, Garden & Pets",Milton,2024-06-10,3,849.0,2547.0
T0000003,C04500,Borosilicate Glass Rectangular Container With Lid - Green,"Kitchen, Garden & Pets",BB Home,2024-06-21,1,269.0,269.0
T0000004,C04500,Borosilicate Select Glass Mixing Bowl With Blue Lid - Oven & Microwave Safe,"Kitchen, Garden & Pets",Borosil,2024-05-21,2,409.0,818.0
T0000005,C04501,Salt & Papper Shaker Set - With Stand,"Kitchen, Garden & Pets",Ritu,2024-04-29,2,95.0,190.0
T0000006,C04501,Pointed Knife 10 cm 3 Rivet Handle,"Kitchen, Garden & Pets",Ritu,2024-04-15,1,110.0,110.0
T0000007,C04501,"Tea Strainer - Stainless Steel, Medium","Kitchen, Garden & Pets",Ritu,2024-04-18,1,99.0,99.0
T0000008,C04501,Coffee Mug - Straight,"Kitchen, Garden & Pets",Aagam,2024-03-24,1,215.0,215.0
T0000009,C04501,"Steel Storage/Lunch Container - No.42, Grey, Klip It","Kitchen, Garden & Pets",Joyo Steel,2024-01-18,1,279.0,279.0
T0000010,C04501,"Proactive Health Dry Dog Food - Smart Puppy Small & Medium Breed, Up To 1 Year","Kitchen, Garden & Pets",IAMS,2024-05-30,3,603.0,1809.0
T0000011,C04501,Stainless Steel Deluxe Mixer,"Kitchen, Garden & Pets",Ritu,2024-01-08,1,85.0,85.0
T0000012,C04501,"Glass Lunch Box - Microwave Safe Office Tiffin, ICY22RD3400","Kitchen, Garden & Pets",Borosil,2024-05-07,1,1109.0,1109.0
T0000013,C04501,"2 Burner Gas Stove - Marvel Plus Glass Tables, GTM02 40094","Kitchen, Garden & Pets",Prestige,2024-04-15,1,2399.470000000001,2399.470000000001
T0000014,C04501,Aluminium Pressure Cooker Outer Lid,"Kitchen, Garden & Pets",Srushti Gold,2024-04-14,1,429.0,429.0
T0000015,C04501,Handy Coconut Scrapper Cum Opener - 2 In 1,"Kitchen, Garden & Pets",Ritu,2024-05-19,3,82.72,248.16
T0000016,C04501,"Steel Skimmer - Big, Classic Diana Series, BBKT30","Kitchen, Garden & Pets",BB Home,2024-04-17,1,99.0,99.0
T0000017,C04502,Opalware Classique Multiutility Bowl Set - Dazzle Purple,"Kitchen, Garden & Pets",Laopala Diva,2024-03-30,3,225.0,675.0
T0000018,C04502,Chai/Opalware Coffee Cup Set - Radiant Curves,"Kitchen, Garden & Pets",LaOpala,2024-02-17,1,289.0,289.0
T0000019,C04502,Ultra Alkaline Battery AA,"Kitchen, Garden & Pets",Duracell,2024-03-11,1,127.0,127.0
T0000020,C04502,Decorative Party Light Pine String LED Light 7 M - Warm White,"Kitchen, Garden & Pets",Lexton,2024-01-08,1,225.0,225.0
