customer_id,persona,preferred_category,price_sensitivity,brand_loyalty,quality_importance,purchase_frequency
C00000,convenience,Beverages,0.5852142919229748,0.5195981825434215,0.579597545259111,6.674996517121547
C00001,price_sensitive,Cleaning & Household,0.8377746675897602,0.10011258334170654,0.057146727168776314,1.0823379771832098
C00002,quality_focused,"Foodgrains, Oil & Masala",0.34973279224012654,0.46370173320348285,0.8363649934414201,6.087407548138582
C00003,convenience,Fruits & Vegetables,0.30211989156591523,0.3069187275124247,0.5574323980775168,4.279993979281692
C00004,quality_focused,Beverages,0.16983140212909129,0.42718193035984625,0.9236772018666175,7.916154429033941
C00005,convenience,"Kitchen, Garden & Pets",0.5579821220208961,0.5040922615763339,0.5351497755908629,9.69331322352
C00006,quality_focused,Gourmet & World Food,0.3425192044349384,0.4913841307520112,0.8195344228012769,4.2051273301300585
C00007,brand_loyal,Beauty & Hygiene,0.38299899733478626,0.9499584735208493,0.5520093960523317,4.293899908000085
C00008,brand_loyal,Snacks & Branded Foods,0.2935133228268233,0.8560204063533432,0.6640130838029839,3.1565664622777927
C00009,brand_loyal,"Bakery, Cakes & Dairy",0.33492624001092974,0.8185450708005443,0.7779976597381383,5.852219872026997
C00010,convenience,"Foodgrains, Oil & Masala",0.5883516073048047,0.5533601546034455,0.6241960330412142,7.520506993983089
C00011,quality_focused,Beauty & Hygiene,0.28211027430600544,0.482799754606763,0.8592547011408165,3.0781820337059695
C00012,convenience,Cleaning & Household,0.4184644554526709,0.3880464524154114,0.40422394681452534,8.241144063085702
C00013,brand_loyal,Baby Care,0.4313811040057837,0.7222133955202271,0.6075397185632818,7.574798377718904
C00014,quality_focused,"Bakery, Cakes & Dairy",0.23483520224146104,0.4286230349471234,0.8741636504396533,6.329611783087483
C00015,convenience,Cleaning & Household,0.38241653789701924,0.46837302775431033,0.514878062426137,8.564710291701385
C00016,convenience,Fruits & Vegetables,0.5312901539863683,0.44813867890931725,0.5568198488145982,4.152514760464571
C00017,price_sensitive,Gourmet & World Food,0.7094287557060203,0.1909231233791341,0.12574239243053068,4.6302658957043725
C00018,price_sensitive,Beverages,0.8231148769106889,0.2266653415629146,0.09151926619664899,2.159005811655072
C00019,price_sensitive,Snacks & Branded Foods,0.9789092957027719,0.24243611386932507,0.2533615026041694,2.826138281931641
C00020,price_sensitive,Beverages,0.8249529843611099,0.26498407767566046,0.12973800840210958,4.584365199693973
C00021,price_sensitive,Gourmet & World Food,0.733015577358303,0.0683805487625825,0.17084311545050254,2.410275425336676
