customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
C07500,6,8,485.25,5,2,2,522
C07501,3,8,504.0,5,2,2,522
C07502,9,6,408.75,4,1,2,412
C07503,26,5,221.0,2,1,1,211
C07504,5,7,585.0,5,2,3,523
C07505,2,12,1069.0,5,4,5,545
C07506,7,7,517.25,4,2,2,422
C07507,12,12,707.45,4,4,3,443
C07508,49,6,576.0,1,1,3,113
C07509,16,5,336.35,3,1,1,311
C07510,14,13,1351.0,3,4,5,345
C07511,8,6,793.65,4,1,4,414
C07512,4,13,926.28,5,4,4,544
C07513,16,7,300.0,3,2,1,321
C07514,3,11,665.0,5,3,3,533
C07515,12,14,1247.9,4,4,5,445
C07516,5,8,691.18,5,2,3,523
C07517,30,11,696.5,2,3,3,233
C07518,3,8,789.98,5,2,4,524
C07519,27,9,645.0,2,3,3,233
C07520,13,8,705.13,3,2,3,323
C07521,21,6,384.98,2,1,2,212
C07522,13,18,1179.38,3,5,5,355
C07523,94,8,689.7,1,2,3,123
C07524,10,10,714.47,4,3,3,433
C07525,6,4,342.0,5,1,1,511
C07526,9,15,820.0,4,5,4,454
C07527,65,7,594.0,1,2,3,123
C07528,31,11,596.38,2,3,3,233
C07529,23,15,955.5,2,5,4,254
C07530,15,15,740.92,3,5,3,353
C07531,19,15,1669.42,3,5,5,355
C07532,89,6,334.2,1,1,1,111
C07533,7,9,461.65,4,3,2,432
C07534,13,18,1114.06,3,5,5,355
C07535,46,6,323.0,1,1,1,111
C07536,9,8,539.23,4,2,2,422
C07537,23,9,768.0,2,3,3,233
C07538,3,10,855.1800000000001,5,3,4,534
C07539,22,6,473.15999999999997,2,1,2,212
C07540,8,17,1720.1,4,5,5,455
C07541,18,12,1061.75,3,4,5,345
C07542,17,12,490.0,3,4,2,342
C07543,5,10,687.0,5,3,3,533
C07544,45,5,388.0,1,1,2,112
C07545,3,16,1480.3,5,5,5,555
C07546,21,7,937.0,2,2,4,224
C07547,29,8,614.8,2,2,3,223
C07548,7,4,217.5,4,1,1,411
C07549,21,8,478.11,2,2,2,222
C07550,36,10,660.0,2,3,3,233
C07551,8,10,712.8,4,3,3,433
C07552,17,5,232.0,3,1,1,311
C07553,4,8,499.5,5,2,2,522
C07554,36,2,215.0,2,1,1,211
