transaction_id,customer_id,product_id,category,brand,date,quantity,unit_price,total_price
T0000001,C13500,Pampers Pants Diapers - Medium Size 80pcs + Sebamed Baby Wash - Extra Soft 400ml,Baby Care,bb Combo,2024-05-04,1,1778.0,1778.0
T0000002,C13500,Baby Wet Wipes,Baby Care,Canopus,2024-05-01,1,75.0,75.0
T0000003,C13500,Pampers Pants Diapers - Medium Size 80pcs + Sebamed Baby Wash - Extra Soft 400ml,Baby Care,bb Combo,2024-04-10,2,1778.0,3556.0
T0000004,C13500,Baby Wet Wipes,Baby Care,Canopus,2024-06-11,2,75.0,150.0
T0000005,C13500,Pampers Pants Diapers - Medium Size 80pcs + Sebamed Baby Wash - Extra Soft 400ml,Baby Care,bb Combo,2024-03-19,1,1778.0,1778.0
T0000006,C13500,Pampers Pants Diapers - Medium Size 80pcs + Sebamed Baby Wash - Extra Soft 400ml,Baby Care,bb Combo,2024-06-07,1,1778.0,1778.0
T0000007,C13500,Baby Wet Wipes,Baby Care,Canopus,2024-04-15,1,75.0,75.0
T0000008,C13500,Pampers Pants Diapers - Medium Size 80pcs + Sebamed Baby Wash - Extra Soft 400ml,Baby Care,bb Combo,2024-02-26,1,1778.0,1778.0
T0000009,C13500,Baby Wet Wipes,Baby Care,Canopus,2024-01-31,1,75.0,75.0
T0000010,C13501,"Baby Bib - Boy, 0m+",Baby Care,Chicco,2024-02-23,1,699.0,699.0
T0000011,C13501,Pants Extra Absorb Diaper - Small Size,Baby Care,Mamypoko,2024-04-22,1,1339.0,1339.0
T0000012,C13501,Tender Tongue Cleaner Brush - Orange,Baby Care,Mee Mee,2024-06-26,3,149.0,447.0
T0000013,C13501,"Baby Bed Protector - Plain Print, Pink",Baby Care,Quick Dry,2024-03-06,1,185.0,185.0
T0000014,C13501,New Born - 2 Diaper Pants,Baby Care,Pampers ,2024-03-01,1,18.0,18.0
T0000015,C13501,Wonder Pants Xtra Small - 12 Diapers,Baby Care,Huggies,2024-05-15,1,99.0,99.0
T0000016,C13501,Premium Soft Diaper Pants - Small Size,Baby Care,Huggies,2024-06-06,1,2017.92,2017.92
T0000017,C13501,Reusable Diaper Insert Pads,Baby Care,Paw Paw,2024-06-12,1,159.0,159.0
T0000018,C13501,Baby Feeding Bottle - Roly Poly,Baby Care,Poop-cee,2024-06-03,1,125.0,125.0
T0000019,C13501,"Baby Lotion - Mineral Based Sunscreen, 0-5 years",Baby Care,Mamaearth,2024-01-17,1,299.0,299.0
T0000020,C13501,Dry Pants Diapers - Small,Baby Care,Huggies,2024-05-16,1,252.0,252.0
T0000021,C13501,Wonder Pants Large - 99 Diapers,Baby Care,Huggies,2024-03-30,2,1463.09,2926.18
