customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
C18000,3,3,1445.7,5,1,2,512
C18001,22,16,5769.8,2,5,5,255
C18002,17,10,1329.1,3,3,2,332
C18003,5,11,10125.940000000002,5,4,5,545
C18004,38,5,1010.0,1,1,1,111
C18005,67,6,995.0,1,1,1,111
C18006,20,9,2217.0,3,3,3,333
C18007,35,10,1821.12,2,3,2,232
C18008,10,10,6357.45,4,3,5,435
C18009,36,7,2115.0,1,2,3,123
C18010,16,8,922.0,3,2,1,321
C18011,26,6,1045.68,2,1,1,211
C18012,15,4,876.2,3,1,1,311
C18013,6,9,2061.0,5,3,3,533
C18014,18,12,3138.4700000000003,3,4,4,344
C18015,43,7,2178.0,1,2,3,123
C18016,40,6,1115.0,1,1,1,111
C18017,5,13,3635.55,5,4,4,544
C18018,30,16,4936.79,2,5,5,255
C18019,163,2,148.6,1,1,1,111
C18020,15,18,5853.16,3,5,5,355
C18021,5,8,2310.0,5,2,3,523
C18022,12,15,3814.4300000000003,4,5,4,454
C18023,4,8,1099.68,5,2,1,521
C18024,5,8,2035.3,5,2,3,523
C18025,2,5,1500.05,5,1,2,512
C18026,48,9,1836.5,1,3,2,132
C18027,27,19,7512.09,2,5,5,255
C18028,58,6,4048.29,1,1,4,114
C18029,15,11,3457.96,3,4,4,344
C18030,11,11,2786.98,4,4,3,443
C18031,11,16,10474.0,4,5,5,455
C18032,102,2,170.0,1,1,1,111
C18033,9,11,1010.0,4,4,1,441
C18034,11,12,4188.0,4,4,4,444
C18035,5,9,3215.15,5,3,4,534
C18036,14,10,2619.0,3,3,3,333
C18037,3,8,1098.7,5,2,1,521
C18038,17,11,3507.1,3,4,4,344
C18039,20,17,4222.15,3,5,4,354
C18040,30,6,1150.1,2,1,1,211
C18041,9,9,2677.5,4,3,3,433
C18042,4,7,1604.9,5,2,2,522
C18043,10,17,6499.6,4,5,5,455
C18044,16,8,978.0,3,2,1,321
C18045,8,15,3234.0,4,5,4,454
C18046,53,7,1750.0,1,2,2,122
C18047,24,7,3093.9,2,2,4,224
C18048,30,4,792.0,2,1,1,211
C18049,34,10,2513.2,2,3,3,233
C18050,37,9,8959.240000000002,1,3,5,135
C18051,21,2,1500.0,2,1,2,212
C18052,4,8,2398.0,5,2,3,523
C18053,9,8,2110.0,4,2,3,423
C18054,16,10,2204.49,3,3,3,333
C18055,14,8,1343.5,3,2,2,322
C18056,7,8,4205.75,4,2,4,424
C18057,3,14,6682.599999999999,5,4,5,545
C18058,3,9,3642.3,5,3,4,534
C18059,30,2,574.3,2,1,1,211
C18060,23,16,3891.1,2,5,4,254
C18061,73,6,1847.0,1,1,2,112
C18062,22,8,1625.3899999999999,2,2,2,222
C18063,47,8,1720.8,1,2,2,122
C18064,7,9,2648.2,4,3,3,433
C18065,56,8,3955.0,1,2,4,124
C18066,132,2,725.0,1,1,1,111
C18067,8,9,2826.25,4,3,3,433
C18068,5,5,2461.4,5,1,3,513
C18069,52,6,6330.94,1,1,5,115
C18070,96,2,325.0,1,1,1,111
C18071,37,6,1222.75,1,1,1,111
C18072,12,9,2528.5,4,3,3,433
C18073,98,2,590.0,1,1,1,111
C18074,8,8,2730.0,4,2,3,423
C18075,42,11,2911.8,1,4,3,143
C18076,3,16,3351.0299999999997,5,5,4,554
C18077,5,13,2312.85,5,4,3,543
C18078,34,6,3532.82,2,1,4,214
C18079,2,9,1839.19,5,3,2,532
C18080,26,11,4414.05,2,4,5,245
C18081,85,4,963.1,1,1,1,111
C18082,5,15,5075.84,5,5,5,555
C18083,21,7,2525.5,2,2,3,223
C18084,33,6,625.03,2,1,1,211
C18085,15,2,120.0,3,1,1,311
C18086,2,8,1842.1,5,2,2,522
C18087,14,6,5414.0,3,1,5,315
C18088,5,17,4206.4,5,5,4,554
C18089,76,4,970.75,1,1,1,111
C18090,2,6,595.0,5,1,1,511
C18091,2,2,663.2,5,1,1,511
C18092,2,19,6075.45,5,5,5,555
C18093,48,9,1462.29,1,3,2,132
C18094,17,14,4933.84,3,4,5,345
C18095,19,8,1766.7,3,2,2,322
C18096,19,6,1220.0,3,1,1,311
C18097,6,10,1807.8400000000001,5,3,2,532
C18098,15,5,2758.0,3,1,3,313
C18099,6,9,4424.0,5,3,5,535
C18100,7,12,1925.0,4,4,2,442
C18101,25,16,5896.8,2,5,5,255
C18102,58,2,330.56,1,1,1,111
C18103,4,9,1666.8,5,3,2,532
C18104,11,8,1550.3,4,2,2,422
C18105,3,8,3744.5,5,2,4,524
C18106,35,13,2020.0,2,4,2,242
C18107,32,4,1033.0,2,1,1,211
C18108,22,8,3795.9,2,2,4,224
C18109,17,8,1900.1,3,2,2,322
C18110,37,8,2089.0,1,2,3,123
C18111,94,6,1111.82,1,1,1,111
C18112,41,9,2416.5,1,3,3,133
C18113,11,4,1217.65,4,1,1,411
C18114,4,8,1188.0,5,2,1,521
C18115,22,5,930.5,2,1,1,211
C18116,27,6,1461.6,2,1,2,212
C18117,22,9,3304.95,2,3,4,234
C18118,14,18,7507.65,3,5,5,355
C18119,4,2,264.1,5,1,1,511
C18120,11,9,2369.0,4,3,3,433
C18121,10,7,3469.0,4,2,4,424
C18122,7,18,4586.29,4,5,5,455
C18123,51,9,1705.3,1,3,2,132
C18124,9,15,7227.55,4,5,5,455
C18125,69,3,435.0,1,1,1,111
C18126,52,6,1590.0,1,1,2,112
C18127,35,4,1945.8600000000001,2,1,2,212
C18128,5,9,5116.55,5,3,5,535
C18129,4,7,3214.0,5,2,4,524
C18130,33,12,3129.11,2,4,4,244
C18131,4,14,2327.55,5,4,3,543
C18132,123,2,1620.0,1,1,2,112
C18133,51,11,2617.3,1,4,3,143
C18134,10,12,3183.65,4,4,4,444
C18135,16,10,1849.75,3,3,2,332
C18136,12,15,1310.0,4,5,2,452
C18137,58,3,2550.0,1,1,3,113
C18138,22,9,2929.75,2,3,3,233
C18139,46,5,1038.05,1,1,1,111
C18140,5,2,775.0,5,1,1,511
C18141,10,9,10601.58,4,3,5,435
C18142,9,9,3560.0,4,3,4,434
C18143,5,9,5499.470000000001,5,3,5,535
C18144,34,8,2333.5,2,2,3,223
C18145,19,7,1555.0,3,2,2,322
C18146,40,12,3811.2,1,4,4,144
C18147,2,6,4971.42,5,1,5,515
C18148,60,3,825.0,1,1,1,111
C18149,14,8,1015.72,3,2,1,321
C18150,46,9,3114.05,1,3,4,134
C18151,41,13,1896.72,1,4,2,142
C18152,34,8,4044.3,2,2,4,224
C18153,6,8,1580.26,5,2,2,522
C18154,7,17,6481.3,4,5,5,455
C18155,9,15,4966.0,4,5,5,455
C18156,13,7,270.0,3,2,1,321
C18157,3,11,4772.8,5,4,5,545
C18158,21,8,3361.75,2,2,4,224
C18159,40,11,1535.0,1,4,2,142
C18160,3,10,1828.1,5,3,2,532
C18161,9,7,1022.0,4,2,1,421
C18162,40,10,1631.2,1,3,2,132
C18163,19,4,2606.25,3,1,3,313
C18164,32,11,3969.0,2,4,4,244
C18165,19,7,946.0,3,2,1,321
C18166,9,13,7914.55,4,4,5,445
C18167,15,6,1797.5,3,1,2,312
C18168,4,9,1328.35,5,3,2,532
C18169,10,6,2638.0,4,1,3,413
C18170,24,10,2423.36,2,3,3,233
C18171,2,8,11246.0,5,2,5,525
C18172,46,9,1180.0,1,3,1,131
C18173,16,9,2890.8,3,3,3,333
C18174,17,2,380.0,3,1,1,311
C18175,8,10,2639.6,4,3,3,433
C18176,2,17,5041.62,5,5,5,555
C18177,16,10,2373.85,3,3,3,333
C18178,10,12,1801.2,4,4,2,442
C18179,11,8,2021.75,4,2,2,422
C18180,34,12,2633.66,2,4,3,243
C18181,9,6,3005.5,4,1,4,414
C18182,42,6,1117.75,1,1,1,111
C18183,12,3,435.0,4,1,1,411
C18184,18,7,3316.6,3,2,4,324
C18185,5,10,3359.5,5,3,4,534
C18186,16,9,1879.0,3,3,2,332
C18187,39,14,4109.13,1,4,4,144
C18188,37,10,2339.52,1,3,3,133
C18189,16,14,6612.9,3,4,5,345
C18190,58,5,2670.56,1,1,3,113
C18191,44,7,1589.0,1,2,2,122
C18192,5,11,4739.0,5,4,5,545
C18193,75,5,994.3,1,1,1,111
C18194,3,6,710.0,5,1,1,511
C18195,24,14,3652.54,2,4,4,244
C18196,6,16,6176.3,5,5,5,555
C18197,11,8,2363.85,4,2,3,423
C18198,5,9,2697.62,5,3,3,533
C18199,34,13,5269.0,2,4,5,245
C18200,17,17,6446.5,3,5,5,355
C18201,3,10,2363.2,5,3,3,533
C18202,10,16,4021.66,4,5,4,454
C18203,64,4,990.0,1,1,1,111
C18204,24,15,9609.940000000002,2,5,5,255
C18205,28,8,2377.0,2,2,3,223
C18206,15,8,2714.25,3,2,3,323
C18207,18,8,1427.0,3,2,2,322
C18208,14,8,2460.0,3,2,3,323
C18209,163,2,249.0,1,1,1,111
C18210,6,11,2868.9,5,4,3,543
C18211,6,6,1798.3,5,1,2,512
C18212,15,7,1149.2,3,2,1,321
C18213,14,8,2325.1,3,2,3,323
C18214,6,19,8994.1,5,5,5,555
C18215,9,9,3444.5,4,3,4,434
C18216,13,15,3649.75,3,5,4,354
C18217,50,3,383.0,1,1,1,111
C18218,70,5,1911.0,1,1,2,112
C18219,4,11,4019.58,5,4,4,544
C18220,19,19,9140.84,3,5,5,355
C18221,16,9,1736.0,3,3,2,332
C18222,13,11,1160.32,3,4,1,341
C18223,164,2,1855.0,1,1,2,112
C18224,14,9,2688.5,3,3,3,333
C18225,94,4,830.58,1,1,1,111
C18226,14,12,8727.6,3,4,5,345
C18227,3,14,3383.74,5,4,4,544
C18228,13,8,4089.0,3,2,4,324
C18229,15,10,5637.0,3,3,5,335
C18230,2,11,1967.5,5,4,2,542
C18231,11,6,963.4,4,1,1,411
C18232,20,7,2540.0,3,2,3,323
C18233,17,8,1957.0,3,2,2,322
C18234,52,6,1384.5,1,1,2,112
C18235,9,6,2687.4,4,1,3,413
C18236,27,4,450.65,2,1,1,211
C18237,61,9,2340.5,1,3,3,133
C18238,20,8,1608.0,3,2,2,322
C18239,50,4,430.6,1,1,1,111
C18240,13,10,1823.52,3,3,2,332
C18241,19,15,2260.0,3,5,3,353
C18242,31,7,1189.3,2,2,1,221
C18243,16,11,3940.2,3,4,4,344
C18244,7,7,2855.0,4,2,3,423
C18245,106,5,1174.0,1,1,1,111
C18246,22,9,3730.5,2,3,4,234
C18247,33,3,962.0,2,1,1,211
C18248,27,9,7679.0,2,3,5,235
C18249,34,6,1816.5,2,1,2,212
C18250,34,12,1518.0,2,4,2,242
C18251,39,6,657.75,1,1,1,111
C18252,19,8,2283.3,3,2,3,323
C18253,59,11,6963.7,1,4,5,145
C18254,10,10,3639.0,4,3,4,434
C18255,11,13,6255.0,4,4,5,445
C18256,12,4,1645.5,4,1,2,412
C18257,97,2,1042.0,1,1,1,111
C18258,19,8,1712.2,3,2,2,322
C18259,3,16,6296.9800000000005,5,5,5,555
C18260,3,16,5190.95,5,5,5,555
C18261,5,10,4699.0,5,3,5,535
C18262,15,13,6268.7,3,4,5,345
C18263,24,2,50.0,2,1,1,211
C18264,8,19,7812.96,4,5,5,455
C18265,15,13,2939.0,3,4,3,343
C18266,4,9,3377.5,5,3,4,534
C18267,3,6,1344.7,5,1,2,512
C18268,21,16,6271.65,2,5,5,255
C18269,94,2,436.0,1,1,1,111
C18270,65,7,1909.0,1,2,2,122
C18271,11,8,982.3,4,2,1,421
C18272,11,9,2646.3,4,3,3,433
C18273,5,10,2952.25,5,3,3,533
C18274,21,5,1199.0,2,1,1,211
C18275,10,8,2125.46,4,2,3,423
C18276,11,15,3860.0,4,5,4,454
C18277,8,13,3377.34,4,4,4,444
C18278,7,11,6856.65,4,4,5,445
C18279,3,12,1295.3,5,4,2,542
C18280,24,15,2616.66,2,5,3,253
C18281,6,8,3900.0,5,2,4,524
C18282,13,14,4286.3,3,4,4,344
C18283,8,11,1331.33,4,4,2,442
C18284,2,19,6522.16,5,5,5,555
C18285,16,10,2125.0,3,3,3,333
C18286,3,3,364.9,5,1,1,511
C18287,2,15,6855.46,5,5,5,555
C18288,2,10,3539.12,5,3,4,534
C18289,16,15,4056.5,3,5,4,354
C18290,81,2,500.0,1,1,1,111
C18291,7,9,2490.62,4,3,3,433
C18292,32,9,2233.6800000000003,2,3,3,233
C18293,4,17,3947.6,5,5,4,554
C18294,18,4,809.0,3,1,1,311
C18295,10,10,2330.0,4,3,3,433
C18296,5,9,2930.4,5,3,3,533
C18297,9,5,1017.25,4,1,1,411
C18298,2,14,4341.2,5,4,5,545
C18299,2,14,3456.0,5,4,4,544
C18300,12,4,730.0,4,1,1,411
C18301,4,7,1072.16,5,2,1,521
C18302,5,7,1390.0,5,2,2,522
C18303,39,18,5770.9,1,5,5,155
C18304,6,13,4394.42,5,4,5,545
C18305,3,14,4300.65,5,4,5,545
C18306,11,12,4302.0,4,4,5,445
C18307,34,14,2487.83,2,4,3,243
C18308,19,15,2741.1,3,5,3,353
C18309,20,6,1397.0,3,1,2,312
C18310,11,5,1812.06,4,1,2,412
C18311,6,18,7560.7,5,5,5,555
C18312,2,8,1197.33,5,2,1,521
C18313,28,5,796.1,2,1,1,211
C18314,41,3,872.3,1,1,1,111
C18315,5,14,5600.72,5,4,5,545
C18316,20,19,3432.36,3,5,4,354
C18317,10,16,5130.360000000001,4,5,5,455
C18318,23,13,2440.0,2,4,3,243
C18319,21,8,5054.8,2,2,5,225
C18320,38,8,5999.75,1,2,5,125
C18321,37,6,4383.06,1,1,5,115
C18322,23,6,640.0,2,1,1,211
C18323,6,13,1663.94,5,4,2,542
C18324,97,3,569.7,1,1,1,111
C18325,22,10,1475.0,2,3,2,232
C18326,12,15,5875.5599999999995,4,5,5,455
C18327,10,18,5021.3,4,5,5,455
C18328,153,2,453.0,1,1,1,111
C18329,5,12,1310.0,5,4,2,542
C18330,41,8,1871.6599999999999,1,2,2,122
C18331,46,7,1858.0,1,2,2,122
C18332,6,9,3343.55,5,3,4,534
C18333,13,10,2897.0,3,3,3,333
C18334,7,8,1232.36,4,2,1,421
C18335,16,16,3898.5,3,5,4,354
C18336,11,9,3147.6,4,3,4,434
C18337,5,9,1444.0,5,3,2,532
C18338,10,12,3193.67,4,4,4,444
C18339,2,14,3301.77,5,4,4,544
C18340,28,7,3276.95,2,2,4,224
C18341,3,15,4036.4300000000003,5,5,4,554
C18342,13,8,1947.5,3,2,2,322
C18343,7,5,2642.75,4,1,3,413
C18344,3,16,6745.0,5,5,5,555
C18345,11,15,3455.91,4,5,4,454
C18346,3,9,2918.55,5,3,3,533
C18347,23,7,1684.71,2,2,2,222
C18348,2,9,2249.7,5,3,3,533
C18349,3,3,742.5,5,1,1,511
C18350,13,9,3247.19,3,3,4,334
C18351,4,11,5042.45,5,4,5,545
C18352,111,3,539.0,1,1,1,111
C18353,27,12,6108.52,2,4,5,245
C18354,11,8,3693.5,4,2,4,424
C18355,2,17,5150.7,5,5,5,555
C18356,5,15,3013.8,5,5,4,554
C18357,20,8,1693.2,3,2,2,322
C18358,27,8,2362.0,2,2,3,223
C18359,18,8,2574.5,3,2,3,323
C18360,20,6,2260.0,3,1,3,313
C18361,12,6,1560.0,4,1,2,412
C18362,24,6,2650.0,2,1,3,213
C18363,2,6,1083.0,5,1,1,511
C18364,9,15,3609.9900000000002,4,5,4,454
C18365,46,4,1421.1,1,1,2,112
C18366,9,10,2087.21,4,3,3,433
C18367,56,8,3510.0,1,2,4,124
C18368,4,9,2319.0,5,3,3,533
C18369,2,15,7743.3,5,5,5,555
C18370,12,18,6048.15,4,5,5,455
C18371,2,16,6848.16,5,5,5,555
C18372,12,15,2677.4,4,5,3,453
C18373,43,9,2197.44,1,3,3,133
C18374,21,13,1316.0,2,4,2,242
C18375,10,6,1467.4,4,1,2,412
C18376,27,7,1575.1,2,2,2,222
C18377,6,9,2075.8,5,3,3,533
C18378,8,14,5888.18,4,4,5,445
C18379,5,13,3778.54,5,4,4,544
C18380,33,7,2286.5,2,2,3,223
C18381,33,9,3463.0,2,3,4,234
C18382,3,13,4122.0,5,4,4,544
C18383,5,9,1832.0,5,3,2,532
C18384,6,13,1800.0,5,4,2,542
C18385,14,8,1385.33,3,2,2,322
C18386,8,7,2907.0,4,2,3,423
C18387,9,6,1545.0,4,1,2,412
C18388,7,17,6070.62,4,5,5,455
C18389,2,5,1281.8,5,1,2,512
C18390,10,19,5427.2,4,5,5,455
C18391,24,10,3629.5,2,3,4,234
C18392,9,14,4432.08,4,4,5,445
C18393,33,2,560.0,2,1,1,211
C18394,6,11,2150.0,5,4,3,543
C18395,21,10,3150.05,2,3,4,234
C18396,5,9,1932.18,5,3,2,532
C18397,58,16,7242.52,1,5,5,155
C18398,9,13,6505.0,4,4,5,445
C18399,3,8,1004.24,5,2,1,521
C18400,33,11,895.0999999999999,2,4,1,241
C18401,5,10,3561.5,5,3,4,534
C18402,27,14,5154.65,2,4,5,245
C18403,9,7,1181.8600000000001,4,2,1,421
C18404,25,7,1550.0,2,2,2,222
C18405,4,15,3963.6,5,5,4,554
C18406,3,15,7225.1,5,5,5,555
C18407,58,10,1029.1,1,3,1,131
C18408,19,10,2993.0,3,3,3,333
C18409,31,6,959.0,2,1,1,211
C18410,23,8,3737.3,2,2,4,224
C18411,19,11,2575.0,3,4,3,343
C18412,59,8,2477.84,1,2,3,123
C18413,7,9,6625.0,4,3,5,435
C18414,32,14,2547.0,2,4,3,243
C18415,28,10,1888.15,2,3,2,232
C18416,13,14,4077.5,3,4,4,344
C18417,88,4,591.25,1,1,1,111
C18418,36,8,945.0,1,2,1,121
C18419,45,9,1059.9,1,3,1,131
C18420,5,10,1941.0,5,3,2,532
C18421,9,19,6653.9,4,5,5,455
C18422,5,15,2857.85,5,5,3,553
C18423,13,18,4660.5,3,5,5,355
C18424,10,15,2125.0,4,5,3,453
C18425,9,10,2062.5,4,3,3,433
C18426,4,16,3889.1,5,5,4,554
C18427,30,10,3011.2,2,3,4,234
C18428,4,10,2746.35,5,3,3,533
C18429,4,14,3368.0,5,4,4,544
C18430,76,9,2909.05,1,3,3,133
C18431,13,16,5892.0,3,5,5,355
C18432,19,10,1850.0,3,3,2,332
C18433,13,6,1504.9,3,1,2,312
C18434,113,8,3160.0,1,2,4,124
C18435,2,10,3524.3199999999997,5,3,4,534
C18436,9,15,4510.78,4,5,5,455
C18437,12,9,1762.0,4,3,2,432
C18438,10,9,2934.5,4,3,3,433
C18439,40,4,2151.0,1,1,3,113
C18440,2,9,1545.35,5,3,2,532
C18441,23,11,5121.0,2,4,5,245
C18442,15,13,3365.8,3,4,4,344
C18443,31,9,1490.6,2,3,2,232
C18444,33,6,1828.0,2,1,2,212
C18445,33,4,1511.0,2,1,2,212
C18446,13,12,3340.0,3,4,4,344
C18447,95,3,689.5,1,1,1,111
C18448,3,14,6169.0,5,4,5,545
C18449,99,2,140.32999999999998,1,1,1,111
C18450,2,18,5337.4,5,5,5,555
C18451,12,5,3006.3,4,1,4,414
C18452,7,11,2158.5,4,4,3,443
C18453,27,5,1598.0,2,1,2,212
C18454,10,19,4973.7,4,5,5,455
C18455,104,2,1080.0,1,1,1,111
C18456,46,9,3315.0,1,3,4,134
C18457,11,10,3040.0,4,3,4,434
C18458,42,2,1029.0,1,1,1,111
C18459,8,11,3562.9,4,4,4,444
C18460,32,15,2786.6,2,5,3,253
C18461,40,4,864.0,1,1,1,111
C18462,17,9,4418.21,3,3,5,335
C18463,9,12,4143.05,4,4,4,444
C18464,22,10,2054.4,2,3,3,233
C18465,69,4,1275.0,1,1,2,112
C18466,27,9,2906.25,2,3,3,233
C18467,72,5,1022.5,1,1,1,111
C18468,10,15,3886.5,4,5,4,454
C18469,12,5,1378.3,4,1,2,412
C18470,16,7,1853.0,3,2,2,322
C18471,20,9,2506.3,3,3,3,333
C18472,18,14,3084.3,3,4,4,344
C18473,25,16,11618.76,2,5,5,255
C18474,3,12,5086.0,5,4,5,545
C18475,34,17,5625.13,2,5,5,255
C18476,35,9,779.8900000000001,2,3,1,231
C18477,17,7,1870.58,3,2,2,322
C18478,9,8,2026.87,4,2,2,422
C18479,15,15,5307.0,3,5,5,355
C18480,13,15,4145.87,3,5,4,354
C18481,5,5,1198.22,5,1,1,511
C18482,2,10,5970.75,5,3,5,535
C18483,80,6,991.92,1,1,1,111
C18484,21,11,1932.33,2,4,2,242
C18485,63,10,1977.7,1,3,2,132
C18486,2,9,4324.400000000001,5,3,5,535
C18487,92,3,1096.0,1,1,1,111
C18488,7,5,2370.0,4,1,3,413
C18489,6,11,1490.25,5,4,2,542
C18490,26,14,3444.6,2,4,4,244
C18491,17,12,4369.45,3,4,5,345
C18492,3,8,5218.45,5,2,5,525
C18493,6,14,3431.8,5,4,4,544
C18494,25,14,3924.83,2,4,4,244
C18495,31,10,1536.56,2,3,2,232
C18496,23,13,3330.42,2,4,4,244
C18497,19,6,3147.84,3,1,4,314
C18498,8,13,2395.64,4,4,3,443
C18499,40,5,485.65,1,1,1,111
C18500,10,7,2646.2,4,2,3,423
C18501,18,18,4581.84,3,5,5,355
C18502,20,15,3387.75,3,5,4,354
C18503,2,9,4308.0,5,3,5,535
C18504,26,13,12420.0,2,4,5,245
C18505,5,19,5841.66,5,5,5,555
C18506,13,13,2675.0,3,4,3,343
C18507,13,13,1155.0,3,4,1,341
C18508,22,6,1607.5,2,1,2,212
C18509,49,2,840.0,1,1,1,111
C18510,26,8,2240.7,2,2,3,223
C18511,6,7,2638.25,5,2,3,523
C18512,5,9,3217.0,5,3,4,534
C18513,6,18,6770.01,5,5,5,555
C18514,2,3,300.0,5,1,1,511
C18515,26,7,2136.64,2,2,3,223
C18516,2,14,5535.65,5,4,5,545
C18517,35,7,1450.3,2,2,2,222
C18518,40,7,1596.0,1,2,2,122
C18519,16,7,1100.0,3,2,1,321
C18520,23,1,486.0,2,1,1,211
C18521,5,2,730.0,5,1,1,511
C18522,14,9,1770.0,3,3,2,332
C18523,33,11,4783.65,2,4,5,245
C18524,30,9,1595.6000000000001,2,3,2,232
C18525,28,6,8640.0,2,1,5,215
C18526,14,7,1529.0,3,2,2,322
C18527,2,12,1462.0,5,4,2,542
C18528,51,8,1272.33,1,2,1,121
C18529,44,5,2237.0,1,1,3,113
C18530,2,16,4773.3,5,5,5,555
C18531,55,7,1953.0,1,2,2,122
C18532,7,6,1942.0,4,1,2,412
C18533,41,11,2210.0,1,4,3,143
C18534,15,8,3259.5,3,2,4,324
C18535,4,13,4583.8,5,4,5,545
C18536,4,11,2861.7,5,4,3,543
C18537,78,12,3408.19,1,4,4,144
C18538,6,9,2940.4,5,3,3,533
C18539,34,8,2641.0,2,2,3,223
