index,product,category,sub_category,brand,sale_price,market_price,type,rating_clean,description,sale_price_original,sale_price_capped,discount_pct
290,"Wood - Centre Filled Bar Infused With Dark Mousse, Cinnamon & Coffee",Snacks & Branded Foods,Chocolates & Candies,Fabelle,350.0,350.0,Chocolates,4.5,"Experience a unique woody chocolate taste as you bite into delectable dark chocolate shells to discover dark mousse infused with cinnamon and coffee. Handcrafted by Master Chocolatiers, Fabelle Wood has been inspired by the mystical element of nature – Wood. Created with premium ingredients in India, where high-quality cocoa meets premium ingredients – cinnamon and coffee. Relax and unwind as you indulge in this luxurious center-filled dark chocolate bar.
The richness of this dark chocolate bar is only elevated with a punch of coffee and spiciness of cinnamon. It evokes a multi-sensorial experience as it teases you with its rich aroma, smooth texture and indulgent taste before hitting you with woody and intense taste. A perfect cure for Monday blues or a mid-day or post-dinner indulgence. Whenever the mood strikes, irrespective of the time and day, this center-filled luxury chocolate will lift your spirits.
Fabelle Launched in April 2016. It has redefined the way the country experiences chocolates. It’s unique offerings in the luxury and premium chocolate segment, is quite unlike anything that’s available in the market today. Its luxurious range of chocolates are Made in India after sourcing the finest single-origin cacaos from Africa and Latin America and blending it with exotic ingredients.",350.0,350.0,0.0
297,Organic Idly Podi - Ginger,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,75.0,75.0,Breakfast & Snack Mixes,3.9,"This is a Ginger flavour Idly Podi that can be had with Idli, Dosa or Adai/Cheela. Ginger helps in digestion. It contains gingerol, a substance with medicinal properties, that can treat many forms of nausea. The anti-inflammatory effects of ginger can help with osteoarthritis, treat chronic indigestion and help fight infections. Certified organic products are only used.",75.0,75.0,0.0
303,Hide & Seek Choco Rolls,Snacks & Branded Foods,Biscuits & Cookies,Parle,37.5,50.0,Cream Biscuits & Wafers,4.3,"First of its kind chocolate chip cookies in India, Hide & Seek was launched in 1996 - best known today for its rich chocolaty experience. Available in Chocolate chip and Caffe Mocha flavours.",37.5,37.5,25.0
331,Rolled Oats - Gluten Free + Gluten Free - Steel Cut Oats (each 500 g),Snacks & Branded Foods,Breakfast Cereals,True Elements,352.0,400.0,Oats & Porridge,4.2,"Rolled Oats 500g
True Elements brings to you Rolled Oats that are loaded with health benefits and nutrients. These are lightly processed whole-grain food. Before being rolled into flat flakes under heavy rollers and then stabilized by being lightly toasted. It is rich in protein, fibre and is an excellent source of Vitamin B Complex and iron. It is the healthiest grain. Cook it with milk or water and add fruits or veggies for your choice. This makes a perfect healthy breakfast.
Benefits:

It is loaded with many health benefits and nutrients.
It is a great healthy breakfast option.
It is rich in protein, fibre and is an excellent source of Vitamin B Complex and iron.

Steel Cut Oats 500g
True Elements brings to you Steel Cut Oats that are loaded with health benefits and nutrients. These are oat groats that have been sliced into smaller pieces. It is rich in protein, fibre and is an excellent source of Vitamin B Complex and iron. It takes more time to cook than other oats. Cook it with milk and add fruits for your choice. This makes a perfect healthy breakfast.
Benefits:

It is loaded with many health benefits and nutrients.
It is a great healthy breakfast option.
It is rich in protein, fibre and is an excellent source of Vitamin B Complex and iron.",352.0,352.0,12.0
333,Steel Cut Oats,Snacks & Branded Foods,Breakfast Cereals,NUTRIWISH,650.0,650.0,Oats & Porridge,3.5,"Nutriwish seeks to help you achieve a healthy and active life that you wish to lead, by delivering nutrition suited to your needs. we deliver an eclectic range of nutritious superfoods from across the world to bring out the super you in you. Nutriwish100% Steel Cut Oats are an excellent source of dietary fibre such as beta-glucan which helps in weight management by suppressing hunger pangs. Steel cut oats have a lower GI than instant oats. They are rich in antioxidants called Avenanthramides. Steel cut oats deliver B vitamins and plenty of iron, magnesium and selenium and can be easily be incorporated into weight management plans.",650.0,650.0,0.0
336,Ready To Eat - Khatta Meetha Poha,Snacks & Branded Foods,Ready To Cook & Eat,MTR,60.0,60.0,Breakfast & Snack Mixes,4.1,Breakfast in a cup.Granish with fresh coriander and boiled Lemon wedge.,60.0,60.0,0.0
340,Masala Oats - Veggie Twist,Snacks & Branded Foods,Snacks & Namkeen,Saffola,180.0,195.0,Oats & Porridge,4.2,"Saffola Masala Oats has a burst of flavours and are made from 100% natural wholegrain oats along with real vegetables and the choicest of masalas. Eating Saffola Masala Oats as part of your daily routine is not just fantastically healthy and delicious, but also requires minimal effort for preparation; ready in 3 minutes. It satisfies the cravings for those savoury flavours as a breakfast cereal or during different times of the day.",180.0,180.0,7.6923076923076925
361,"Sauce - Bhut Jolokia, Sweet Chilli",Snacks & Branded Foods,"Spreads, Sauces, Ketchup",ENE,168.75,225.0,Chilli & Soya Sauce,5.0,Uses Chilli Puree from the Hotest Chilli in Asia,168.75,168.75,25.0
367,Andhra Special Allam/Ginger Pickle,Snacks & Branded Foods,Pickles & Chutney,Delight Foods,210.0,210.0,Other Veg Pickle,2.0,"Contains - Andhra Special Allam - Ginger Pickle 250g. Aromatic & spicy accompaniment with your meal. Spicy Masalas & Pickles are a daily affair in Andhra Pradesh. But you need not go to Andhra to explore their tantalizing & spicy pickle recipes. Authentic Andhra Pickles are just a click away. We bring you the most authentic range of Traditional Andhra Pickles, prepared using the finest ingredients & an age-old recipe to ensure the genuine flavour, aroma & texture. Our pickles are manufactured using only natural ingredients & contain no artificial colours, flavours or preservatives. We have the 5 most popular & exciting flavours - Avakaya(Mango), Allam(Ginger), Gongura, Red chilli & Bitter Gourd. Each variant is an ideal blend of the iconic spice & the main ingredient. Enjoy these flavourful pickles at the comfort of your home. Eat it with curd rice, rice sambar, Indian bread, etc. Veg. Store dry & airtight container. Do not use wet spoon. Best Before 365 days from the date of packing",210.0,210.0,0.0
369,Fruit N Fibre Muesli - Mixed Fruit,Snacks & Branded Foods,Breakfast Cereals,Bagrrys,320.0,320.0,Muesli,4.3,A delightful muesli for a great start to your day with the perfect balance of whole grains and mixed fruit crush.,320.0,320.0,0.0
375,Milly Magic Chocolate Balls - Gluten Free,Snacks & Branded Foods,Breakfast Cereals,Schar,485.0,485.0,Kids Cereal,4.0,"When Milly Magic chocolate balls hop into your cereal bowl, it is truly an easy leap into the new day. Fibres and yummy cocoa - probably the best breakfast combination for all adventurers, big and small. Hop-hop, choco-pop! Time to go!",485.0,485.0,0.0
398,Ultimate Choco Berry,Snacks & Branded Foods,Chocolates & Candies,RiteBite Max Protein,950.0,950.0,Granola & Cereal Bars,4.9," A BAR FOR EVERYONE: With 30gms of protein in each bar and 10gms of fiber, 5.5g of BCAA and goodness of berries. Max Protein Choco Berry protein bar is the perfect bar for your ultimate lifestyle with no preservatives and no artificial sweeteners with a balance of taste and health.

SUSTAINED ENERGY: Max Protein Choco Berry is yours go to performance energy bar, purposefully crafted with an ideal mix of 3 protein blends of whey protein, soy and casein and a punch of flavor with berries to sustain 5hrs of energy for your ultimate lifestyle.

WHOLESOME INGREDIENTS FOR A WHOLESOME EXPERIENCE: A bar that satiates your hunger and keeps you going with 5hrs of sustained energy. We aim to keep you healthier and provide a healthier option to your food choices with an irresistible combo of nutrition and flavor of berries and no added sugar.

DELICIOUS NUTRITION: Satisfy your cravings with a perfect blend of dark chocolate and almonds and no preservatives, 100% vegetarian.

YOUR ENERGY BUDDY: No time for breakfast before the video call? Need something energy boost for the grocery run? Got that midnight movie craving? Choose the healthier Max Protein bars as your energy and nutrition buddy. Don't skip on your health and weight goals. Have this bar handy for all the time whenever bored or binge eating hits you.

MADE IN INDIA : Max Protein is the first brand to launch nutrition & protein bars in India. We have created and nurtured protein bars category in Indian Market.",950.0,950.0,0.0
