index,product,category,sub_category,brand,sale_price,market_price,type,rating_clean,description,sale_price_original,sale_price_capped,discount_pct
23,Chia Seeds,"Foodgrains, Oil & Masala",Dry Fruits,NaturoBell,120.0,120.0,Other Dry Fruits,3.9,"Raw Chia seeds, naturally gluten free, lyva raw chia seeds are a whole, vegetarian food, naturally rich in omega-3 and omega-6 essential fatty acids, dietary fiber, protein and other essential minerals. just a spoonful of lyva raw chia seeds a day is an easy and delicious way to support your digestive health and satiate your appetite homemade buffalo manure has been used as a compost during the cultivation of these seeds. no pesticides or insecticides were used making it near organic suggested uses - 1 tbsp. Daily mixes easily in water or juice. excellent when used as a topping for yogurt, salad, breakfast cereals, blended smoothie beverages and fresh coconut water ingredients - organically grown 100% chia seed (salvia hispanica) 15 g of chia seeds provide - all your daily requirement of omega-3 and omega 6 - also boosts the fiber, antioxidants and protein in your diet.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",120.0,120.0,0.0
28,Flaxseed - Pesticide Free,"Foodgrains, Oil & Masala",Dry Fruits,Safe Harvest,53.9,55.0,Other Dry Fruits,4.0,"Super-nutritious and good for your heart, flaxseed is also a rich source of fibre and Omega-3 fatty acids. We procure our flax seeds from the Gond tribes of eastern Madhya Pradesh who are traditionally practitioners of sustainable farming over many generations. Sprinkle into your morning breakfast cereal or porridge or make a blitz together with chillies, ginger, coconut and lemon juice for an interesting nutritious twist to idli chutney breakfast.  All Safe Harvest products are cultivated completely devoid of synthetic chemical pesticides.",53.9,53.9,2.0000000000000027
36,Dhania - Dal,"Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,98.0,120.0,Whole Spices,4.1,"Finest quality split coriander seeds roasted and mildly salted; crunchy and crisp. A traditional mouth freshener and an excellent post-meal digestive. Coriander Seeds are rich in Vit-C (the only seed to do so), Vit-B family and thiamin, riboflavin, and niacin. Coriander seeds are anti-bacterial, anti-microbial and anti-inflammatory in nature, and hence, consuming dhana dal after meals can have many medicinal benefits.",98.0,98.0,18.333333333333332
37,Pudina Chutney Masala,"Foodgrains, Oil & Masala",Masalas & Spices,Catch,46.75,55.0,Blended Masalas,3.9,"Catch Pudina Chutney is a spicy dip made from mint leaves. This Pudina chutney masala is perfect for making the traditional Indian condiment. It is an extremely flavour condiment and is served in small quantities. It is one of the most popular Indian chutneys around, as it can be served with almost any food. Catch Pudina Chutney Masala is made using Low-Temperature Grinding technology.",46.75,46.75,15.0
46,Quinoa - Organic,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,250.0,250.0,"Organic Rice, Other Rice",3.9,"Quinoa is one of the world’s most popular health foods. Organic Tattva's Organic Quinoa is one superfood which is gluten-free, high in protein and is full of anti-oxidants. It is one nutritious plant food which contains all nine essential amino acids. Enriched with anti-inflammatory phytonutrients, it is helpful in the prevention and treatment of various health conditions.  It contains small amounts of the heart-healthy omega-3 fatty acids and it boosts the immune system. Quinoa has a sweet and nutty flavour with a distinct texture. Organic Quinoa ensures purity and unadulterated goodness of this superfood. its high nutrition content makes it useful for people who are particular about their health. Organic Tattva's Quinoa is produced  and processed in compliance with NPOP standars in India, USDA -NOP, and EU Regulation EC no. 834/2007 & 889/2008.",250.0,250.0,0.0
51,Pani Puri Mix Paste,"Foodgrains, Oil & Masala",Masalas & Spices,Mother's Recipe,48.95,55.0,Cooking Pastes,4.1,"Make your home-made Panipuri more delightful, with the help of our Tangy Panipuri Mix Paste. Mix 4 tablespoon (50g) of Mother's Recipe Panipuri Mix Paste in 450 ml of chilled water. Dunk the puris filled with mashed boiled potatoes and Sprouts or Boondi in the prepared water and enjoy. Tastes best with our Tamarind Date Chutney.",48.95,48.95,10.999999999999995
69,Organic Carom Seeds/Ajwain/Om Kalu,"Foodgrains, Oil & Masala",Masalas & Spices,Earthon,72.0,72.0,Whole Spices,4.2,"Earthon's Ajwain is Best quality, organically grown, no preservative, no artificial colour and free from harmful chemicals or pesticides.
Ajwain also know as Bishop’s weed or Carom seeds are small brown colour seeds with a pleasant but strong odour.",72.0,72.0,0.0
83,Organic Dal - Masoor,"Foodgrains, Oil & Masala",Organic Staples,Pro Nature,96.0,96.0,Organic Dals & Pulses,3.9,"Pro Nature Organic Masoor Dal, that comes in a hygienically sealed packet ensuring its freshness and taste. It is a preparation of pulses (dried lentils, beans or peas) which have been stripped of their external hulls and split. It is also high in carbohydrates whilst being virtually fat free. It is also rich in B vitamins thiamine and folic acid as well as numerous minerals, especially zinc and iron.",96.0,96.0,0.0
101,Samrakshana Vaastu Deepa Thailam,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Samvruddhi,515.0,515.0,Other Edible Oils,4.2,"Exclusive blend of quality oils and powerful divine herbs, Puja Oil is the blend of five puja oils - Coconut, Rice Bran, Sesame (Til), Castor and Mahua - sourced in their purest form and blended for cherished memories to last longer The oil constitution varies regionally.",515.0,515.0,0.0
113,Fenugreek,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,28.5,30.0,Organic Masalas & Spices,4.2,"Per 100 gm : Calories - 323 g, Fat - 6 g, Protein - 23 g",28.5,28.5,5.0
