index,product,category,sub_category,brand,sale_price,market_price,type,rating_clean,description,sale_price_original,sale_price_capped,discount_pct
8403,"Decorative Wax Scented Candles - Rose, BB-1257-6",Cleaning & Household,Pooja Needs,DP,259.0,449.0,Candles & Match Box,4.0,Match the mood of your place with these Decorative Wax Rose Scented Candles. These are pink in colour and come in cylindrical shape. They are made with wax and come with a wick. Suitable for decorating your house/workplace during special events and gatherings. These Decorative Wax Rose Scented Candles come in a set of 4 and are the perfect decor solution.,259.0,259.0,42.31625835189309
8409,"Wax Tealight Candles Metal - Round, Smokeless, White, 0CD 82",Cleaning & Household,Pooja Needs,DP,199.0,199.0,Candles & Match Box,4.0,"Enrich the ambience of the place as you place these captivating looking tealight candles. These are white in colour and round in shape. They are filled with wax and wick inside. These are suitable for decorating the house during the festive occasions and parties. It has been composed using a metal cup so that the candle can liquefy completely when lit. These are odourless and smokeless candles that do not leave any soot residue behind. Also, the tealight candles burn fully without damaging your furniture or floor.",199.0,199.0,0.0
8410,"Merry Christmas Decorative Banner - BB1474, Gold",Cleaning & Household,Party & Festive Needs,DP,125.0,125.0,Seasonal Accessories,4.0,"Make the best of Christmas celebration with cute decoration like this Merry Christmas Santa ornament. You can easily hang it on the Christmas tree, a window or door. It is ideal to gift to friends and family.",125.0,125.0,0.0
8420,"Plastic Dustbin/Garbage Bin - Green With Polka Dots, Bon Bon, 12081P-M-B",Cleaning & Household,Bins & Bathroom Ware,Ratan,199.0,284.0,Dustbins,3.2,These pedal bins are beautiful that goes well with the indoor aesthetics. These are very durable and sturdy and are easy to use and easy to clean. The dustbin has a foot pedal mechanism that permits you to open the dustbin easily with one foot.,199.0,199.0,29.929577464788732
8431,Air Freshener - Whispers of Passion,Cleaning & Household,Fresheners & Repellents,Good Home,45.0,45.0,Air Freshener,3.8,"Get long-lasting fragrance of passionate roses and fall in love with Good Home Rose. Good Home air fresheners eliminate unpleasant odours and add a dash of long lasting freshness to your home. Coming in five refreshing variants Good Home freshens bathrooms, suitcases, cupboards and shoe racks. Customize your home to your mood with each fragrance.Ã‚ Ã‚",45.0,45.0,0.0
8443,Choumukha - Size 0,Cleaning & Household,Pooja Needs,Shubhkart,175.0,180.0,Other Pooja Needs,4.6,Chomukha is a four bowled article which is essential for puja ceremonies. Choumukha makes it convinient to hold and keep puja essentials in a proper wat making it look more systematic and sophisticated.,175.0,175.0,2.7777777777777777
8451,Joyo Pedal Dustbin - Assorted 7 lt + bb Home Floor Cleaner - Citrus 500 ml,Cleaning & Household,Bins & Bathroom Ware,bb Combo,267.0,344.0,Dustbins,3.8,"This pedal dustbin is versatile and has a stylish look to it. It can be kept in offices, kitchens or bathrooms to enhance the appearance of the room and to keep the surroundings clean & hygienic. It is made up of 100% newly manufactured plastic.This pedal dustbin from Joyo comes along with a bb Home floor cleaner in a special combo pack.",267.0,267.0,22.38372093023256
8454,"Bathroom Stool Plastic / Patla No. 1 - Blue, L8303-LT",Cleaning & Household,Bins & Bathroom Ware,Princeware,139.0,235.0,"Bath Stool, Basin & Sets",3.2,This stool is made from high-quality plastic and is light-weight and durable. It features a strong and sturdy construction which is ideal for daily use. It is an excellent addition to your laundry space.,139.0,139.0,40.85106382978723
8467,"Incense Sticks - Namo Bhakti, Scented",Cleaning & Household,Pooja Needs,GIRI,50.0,50.0,"Agarbatti, Incense Sticks",4.0,"Giri incense sticks are made using natural herbs, flowers, resin and essential oils. For millennia, the Ayurvedic tradition based on vedic principles prescribes the use of aromatherapy for quality of life. The essential oils, which are the ""life and soul"" of the plants help in the awakening of innate intelligence. The pleasant aroma of these oils allows the mind and body to settle down through the sense of smell.",50.0,50.0,0.0
8482,"Multi Appliance Descaler - Cleans, Descales, Sanitizes and Deodorizes",Cleaning & Household,All Purpose Cleaners,Fortune ,150.0,150.0,Imported Cleaners,4.2,"Fortune Descaler contains speciality hard surface cleaners which clean and removes odour causing residues and grime from your appliances. Regular use of Fortune Descaler will keep your appliances in optimum condition and prolong their life. Fortune Descaler can be used in Washing Machine (Front load and top load), Dishwasher, Coffee Maker, Shower Heads and Faucets, Ceramic Tiles.",150.0,150.0,0.0
8494,"Kitchen Multiutility Plastic Tray No. 2 - Blue, L1662-LT",Cleaning & Household,Bins & Bathroom Ware,Princeware,119.0,178.0,"Laundry, Storage Baskets",3.7,"This is a multipurpose basket which keeps your clean space uninterrupted and organised. It is ideal for storing items like toys, clothes, laundry, household items, kitchen aids, etc. It is light-weight and has cut out handles which makes it convenient to hold and carry inside your home. It is perfect for keeping your stuff neat and tidy. It is ideal for both domestic and commercial use.",119.0,119.0,33.146067415730336
8498,Oxo -Bio-Degradable Garbage Bag - Xtra Large,Cleaning & Household,"Disposables, Garbage Bag",Pearl Luxury,135.0,135.0,Garbage Bags,4.3,"Aarika garbage bags are lightweight and particularly useful for wet rubbish and food waste. They are also useful for wrapping up garbage to minimize odour and are often used for lining litter, waste containers, and bins. These bags can be used in schools, commercial restaurants, offices and bathrooms.",135.0,135.0,0.0
8502,Air Effect Air Freshener - Rose & Blossom,Cleaning & Household,Fresheners & Repellents,Ambi pur,279.0,279.0,Air Freshener,4.0,"Do you sometimes feel that your home has an annoying persistent odour? Well, 2 out of 3 Indian women agree, according to an independent third party survey on Indian households, that odours are common in every home, making it clear that Smelly Homes are a prevalent and widespread issue! Considering our love for food, spices, tadka and flavors, it is no surprise that the survey goes on to reveal that Indian women rank smells from cooking garlic and tadka as the no. 1 most common household odour, and smells from cooking fish and other non-vegetarian dishes, as no.2 on that list.
The challenge with common household odours is that they are tough to completely remove. The survey further adds that Indian women and men agree that household odours become more prominent during the summer and monsoon seasons. These seasons bring with them a host of smells ranging from sweaty clothes to dirty shoes, damp clothes to smelly socks. An easy way to battle these tough household smells is to use an air freshener, and more than 90% of Indian women agree.
Ambi Pur Air Effects is the perfect air freshener for you, since it can transform your home from Smelly to Smiley because it doesnt just cover but truly removes the odours! and guess what? It leaves behind a beautiful subtle fragrance as well!
Claims generated from men and women who were in agreement with the above statements as per a 3-city (992 person) survey conducted by an independent third party agency in Mumbai, Delhi, Chennai, in April 2015.",279.0,279.0,0.0
8532,Scottish Plastic Multipurpose Fruits/Vegetable Basket - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware,JOYO,187.0,225.0,"Laundry, Storage Baskets",4.0,"This Plastic Basket designed to serve multiple requirements. This plastic basket is made up of high-quality virgin plastic which is unbreakable. This high-quality feature makes a bright appealing subject in your kitchen. Designed to store all your essentials in a safe and secure manner. This multiple size basket is perfect for storing fruits, vegetable and clothes while you are on run.",187.0,187.0,16.88888888888889
8539,Multipurpose Alcohol Based Disinfectant Sanitiser Spray - Kills 99.9% Germs,Cleaning & Household,All Purpose Cleaners,Bodyguard,99.83,149.0,Disinfectant Spray & Cleaners,3.5,"BodyGuard Multi protect Disinfectant Spray is alcohol-Based and kills 99.9% of Germs. Effective on hard and soft surfaces. Protection from disease-causing bacteria and viruses. Fruity floral fragrance. Kills cold & flu viruses Recognizing that all seemingly clean objects are not actually safe, BodyGuard has formulated this disinfectant spray, which kills 99.9% of germs. Offering multi-protection from disease-causing bacteria, it is effective on a diverse range of surfaces-both soft and hard.
Ideal for: Hard and soft surfaces like bathroom, bedrooms (mattresses and curtains), car seats, doors and knobs, office desk, kids’ toys, etc.",99.83,99.83,33.0
8563,Disinfectant Surface & Floor Cleaner Liquid - [Citrus 2 L + Lavender 2 L],Cleaning & Household,All Purpose Cleaners,Lizol,631.0,742.0,Floor & Other Cleaners,4.8,"Lizol is Indias No.1 floor cleaning brand and recommended by the Indian Medical Association. Keep your home fresh and germ-free with Lizols comprehensive 3 in 1 home-care solution. Lizol Disinfectant Surface Cleaner contains a distinctive formulation that kills 99.9% germs and gives 10 times better cleaning and germ protection than standard Phenyls, keeping the whole house cleaner, shinier, and germ-free. The product is available in 8 different fragrances and is perfect for floors, tiles, sinks, kitchen counters, and all other washable surfaces in your home. Lizol disinfectant liquid can be used either directly or diluted. For light soiled areas you should clean with Lizol mixed with water, whereas, for heavily soiled areas it can be used without any dilution. Lizol takes complete care of your family by keeping your kitchen, bathroom, floor, furniture, and even the pets disinfected and clean. For instructions on cleaning different surfaces using Lizol read on.",631.0,631.0,14.959568733153638
8597,Finescript Pencil - 0.9 MM,Cleaning & Household,Stationery,Classmate,48.0,50.0,"Pen, Pencils",3.5,It is a set of vibrant and attractive pencils in 5 body colours. It requires no sharpening and gives comfortable writing experience. The 0.9 mm 2B lead is good for sharp and dark handwriting.,48.0,48.0,4.0
8610,Floor Squeegee - K130051,Cleaning & Household,"Mops, Brushes & Scrubs",Liao,199.0,269.0,"Mops, Wipers",3.9,"The wiper rubber is high quality hence, it is a durable product. It can be used for multiple purposes such as the floor, wall etc. Instantly dry the floor with this red-grey floor squeegee as you wipe off the dirty water on any type of floor. It has a sharp rubber edge with durable plastic and iron composed handle. Also, this sharp rubber edge helps in cleaning the accumulated dirty water more effectively and gives your floor a clean look. Care Instruction: - Wash and Keep it in a dry place. Do not use harmful chemicals to clean.",199.0,199.0,26.022304832713754
8619,Plastic Crayons,Cleaning & Household,Stationery,Faber castell,105.0,105.0,Colours & Crayons,4.1,"Plastic Crayons is a triangular-shaped crayon for better grip and control, no flaking, fragrance-free safe for children and easily erasable. These are ultra-smooth for an easy flow of colour. These crayons can be used from both ends- the tip for fine colouring and the end for covering larger surface area. There is a free eraser included.",105.0,105.0,0.0
8628,"Christmas Sparkling Decorative Bells - BB1476, Assorted Colour",Cleaning & Household,Party & Festive Needs,DP,125.0,125.0,Seasonal Accessories,4.1,These colourful and artistically designed bells will add glitter and sparkle to your Christmas celebrations. They are light in weight and thus can be easily hung on the Christmas tree. Ideal for Christmas party decorations and gifts.,125.0,125.0,0.0
8645,Disinfectant Toilet Cleaner - Lemon - Kills 99.9% Germs,Cleaning & Household,All Purpose Cleaners,BB Home,86.0,86.0,Toilet Cleaners,4.2,"BB Home Toilet Cleaner with 99.99% germ killer ingredient is the ideal product for your toilet cleaning solution. Packed with industry benchmarked solutions, BB Home Toilet Cleaner works on effectively on both western and Indian style toilet bowl in removing limescale and yellow stains giving your toilet bowl a sparkling look and pleasant odour with each usage.",86.0,86.0,0.0
8659,"Bucket - Designer, Pink",Cleaning & Household,Bins & Bathroom Ware,Cello,179.0,242.0,Buckets & Mugs,3.8,"Cello buckets are strong, sturdy and durable, made of superior quality plastic in a user friendly design. The buckets are available in different sizes, shapes and capacities that let you store and save water as per your needs. They are light weight along with an easy grip handle which helps carry the bucket anywhere for performing multiple essential tasks like: Stacking up dirty clothes, collecting and storing water or collecting clean clothes to name a few.",179.0,179.0,26.033057851239672
8660,Candles - White,Cleaning & Household,Pooja Needs,Raju Candles,89.0,89.0,Candles & Match Box,4.0,Raju wax candles will illuminate your home and create a relaxing aura. These candles can be used on fancy candle stands or can be placed just the way they are for meditation and prayers.,89.0,89.0,0.0
8663,Essential Automatic Fragrance Mist Diffuser Kit - Relaxing Lavender,Cleaning & Household,Fresheners & Repellents,Air wick,999.0,999.0,Air Freshener,3.4,"Airwick Essential Mist Diffuser gives up to 45 days of continuous freshness for a delightful experience every time. The diffuser is battery operated and comes with 3 AA batteries to bring long-lasting fragrance into your bedroom, guestroom, gym, dining room etc. The stylish Airwick device has 3 in-built fragrance intensity settings (low, medium, high) to ensure just the right amount of fragrance as required. Just insert the battery and the refill and turn on the device using the slider at the bottom of the device. Voila! You’re all set to experience the ultimate fragrant home. 
Airwick diffuser transforms natural essential oils into a gentle fragrance mist with relaxing lavender fragrance to elevate your home. Airwick Essential Mist Diffuser is designed to run for 8 hours, releasing mist regularly and then go on standby for the next 16 hours. Once the refill gets over, replace it only with new Airwick Essential Mist Refills for the best experience. Safety Warning: Use Airwick Essential Mist Diffuser as directed. Do not allow product spray to settle on surfaces or fabrics. Keep in a cool, dry place.
Addtional Highlights:
1. Exquisite Fragrance experience: Automatic fragrance diffuser transforms natural essential oils into a gentle fragrance mist to elevate your home
2. Pre-Mixed Refills (20ml): No mixing needed. Refills are available in 2 premium scents – Relaxing Lavender, and Calming Rose",999.0,999.0,0.0
8673,Om Shanthi Naivedya Cup Sambrani,Cleaning & Household,Pooja Needs,Cycle,72.0,72.0,"Agarbatti, Incense Sticks",4.3,"The finest energy purifier of atmosphere, Sambrani with all its purity and sanctity has been captured in the form of Naivedya Cup Sambrani, a unique offering by Cycle Pure Agarbathies. One of the best gifts of nature, Sambrani has a distinct, peaceful and balsamic fragrance. When burnt on a charcoal piece; it emits an amazingly positive, vibrant and an alluring aroma that cleanses the air and energy in the surroundings.",72.0,72.0,0.0
8689,"Notebook - Hard Bound, Single Ruled, Long Size",Cleaning & Household,Stationery,Vijay,64.0,65.0,"Notebooks, Files, Folders",4.2,"Notebooks are a necessity for school and college students, which are used for documenting text and lessons and can also be used for documenting tasks and notes for office work. The superior cut and excellent finish of the notebook ensures that the pages are in perfect alignment without any folded corners. These notebooks are available in different sizes and alignment type to suit everyones preference.",64.0,64.0,1.5384615384615385
8691,Tablet Box - Transparent,Cleaning & Household,Bins & Bathroom Ware,Nakoda,39.0,45.0,"Laundry, Storage Baskets",3.0,"Keep Your Medicines Secure And Easily Accessible Overcome Medical Emergencies And Keep Your Medicines Organized With The Medical Box. Made From High Quality Bpa Free Durable Plastic, This Medical Box Features A See-Through Body For Easy Accessibility.  Food Grade Materials. Environmental Health. For Storing Drugs, Easy To Carry. Portable Mini Pill Box Container, Health Care Box Travel Medicine Cases. It Can Also Be Used To Store Sundries Like Small Stationery Such As Clips, Pins, Rubber Bands Etc.",39.0,39.0,13.333333333333334
8694,Zeb-Bold 2.4GHz Wireless Optical Mouse With High Precision,Cleaning & Household,Stationery,Zebronics,340.0,399.0,Electronic Accessories,4.1,"Zeb-Bold is a 2.4GHz wireless optical mouse with a matte finish. The mouse comes with 4 buttons and has a high precision optical sensor with up to 1600 DPI. This wireless technology can provide reliable connection within 360 degrees and 10 meters without any interference. Low energy consumption and low current design make the battery life longer, environment protection and energy-saving. It is convenient no need any driver plug and plays directly.",340.0,340.0,14.786967418546364
8700,Toilet Cleaner - Lemon Pop,Cleaning & Household,All Purpose Cleaners,TYDIBOWL,105.0,150.0,Toilet Cleaners,4.3,"Tydi Bowl is a revolutionary cleaning formula made of a powerful yet natural cleaning agent – vinegar. It eliminates tough stains and odours, without leaving any harmful chemical residue behind. Plus its vinegar powered formula is a strong, natural disinfectant and banishes those stubborn hard water stains with ease. 
Its non-toxic, eco-friendly, safe and bio-degradable formula combats hard water stains & toilet rings. It contains vinegar, nature’s toughest cleaner which, fights 99.9% germs, bacteria and tough mould on contact. Its thick gel formula evenly coats your toilet bowl for a thorough cleaning and whitens it, leaving a shiny toilet bowl with every flush. It works better than bleach, removes lime scales, urine scales and any discolouration without harming the septic tank.
Raaso was born out of a basic requirement to provide highly effective, non-toxic and safe cleaning products. These 3 underlying principles are the foundation of our innovation and product development. These principles constantly help us in putting adequate thought and an uncompromising approach to every finished product that is handed out to you. Our team has put together our heads, hearts and over 2 years of intense research & development in creating cleaning products that are not only effective but also toxin-free and are made using a potent amalgamation of science-backed with the age-old secret kitchen ingredients vinegar and baking soda.",105.0,105.0,30.0
8703,Cylindrical Shaped Pencil Pouch Bag - With Teddy Art,Cleaning & Household,Stationery,QIPS,200.0,249.0,Exam Pads & Pencil Box,5.0,"Take these adorable cartoon printed pencil pouch wherever you go. Great for holding stationery, study or craft supplies, cosmetics, makeup tools or small accessories. Made of high-quality durable polyester material with complete lining inside making it tough and long-lasting. It comes in a Box Packaging making it an ideal gift for any occasion.",200.0,200.0,19.67871485943775
8723,"Decorative Wax Beaded Candles - Pink, BB-1260-2",Cleaning & Household,Pooja Needs,DP,349.0,539.0,Candles & Match Box,4.0,Complement the feel of your place with these scented candles. These are pink in colour with beaded texture and come in different tubular sizes. They are made up of wax and come with a wick. They are great for decorating your house during joyous occasions and parties. They are made in China and they come in a set of 3.,349.0,349.0,35.25046382189239
8730,All In One Dishwasher Tablets - Lemon,Cleaning & Household,All Purpose Cleaners,Astonish,1050.0,1050.0,Imported Cleaners,4.0,"Astonish All in One Dishwasher Tablets Lemon are formulated with a powerful scrubbing action to remove tough spots and stains including pickle, beverage and dried-on food. These tablets have a built-in salt and rinse aid to leave glassware streak-free and dishes sparkling. It's very suitable for hard water areas, Phosphate-free and kinder to the environment. Probably the only thing that works harder is that we formulated our tablets with powerful cleaning action to remove even the toughest stains including beverages and dried-on food. With the added benefit of built-in salt and rinse aid, even suitable for hard water areas, glassware will be left streak-free and dishes sparkling.",1050.0,1050.0,0.0
8753,Face Tissue,Cleaning & Household,"Disposables, Garbage Bag",Freshee,180.0,180.0,"Paper Napkin, Tissue Box",4.0,"Freshee Premium Facial Tissue. Made out of 100% virgin fibre.Soft and smooth, safe for all types of skin  For Beauty tips, tricks & more visit https://bigbasket.blog/",180.0,180.0,0.0
8769,Fridge Odour Remover,Cleaning & Household,Fresheners & Repellents,Mr Nomo,199.0,199.0,Air Freshener,4.1,"EAN Code: 8809415200270  Country of origin: India, South Korea  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com",199.0,199.0,0.0
8774,Room Air Freshener Spray - Lavender Mist,Cleaning & Household,Fresheners & Repellents,Odonil ,266.0,380.0,Air Freshener,4.2,"After a hectic day of work and travel dulls your mood, just a calm and normal living area and bedroom is not enough to lift your dull mood. To enhance your living area and bedrooms you need something premium. And for that we have Odonil Room Freshening Spray - Lavender Mist which keeps your bedrooms and living rooms fresh and fragrant with its fine selection of nature-inspired scents. This variant lets you experience the calming aroma of Lavender, well-known in aromatherapy for its soothing effects.
It is available in 3 different sizes – 108g, 153g & 340g;
and also available in 7 different fragrances – Jasmine, Lavender, Sandal, Rose, Citrus, Floral Bliss and Ocean Breeze.",266.0,266.0,30.0
8778,Cutter,Cleaning & Household,Stationery,B Vishal,29.4,30.0,"Scissor, Glue & Tape",3.5,"Cutter Range is an item of utility as it is used to cut paper sharply or other small items. Ready to use, cut and toss or keep some around as a spare utility knife in your garage, tool kit, home and office. It is widely used in DIY, graphic artists/designers, students, hobbyists, office solutions, warehouse shipping, freight couriers, longshoreman. The snap-off blade allows for extended use through the guided line marks on the blade. As you use it more, the blade will get dull. For a fresher and sharper blade, simply snap off the blade at the desired line marking.",29.4,29.4,2.000000000000005
8781,Cocktail Napkin - 2 Ply -100% Virgin Pulp/Paper,Cleaning & Household,"Disposables, Garbage Bag",BB Home,48.0,72.0,"Paper Napkin, Tissue Box",4.1,"BB Home paper napkins are made from 100% virgin fibre. They are soft and absorbent. Paper napkins are a highly convenient way to maintain cleanliness and hygiene. Paper napkins can be used during parties and for regular use at restaurants and home. Ideal for household use and during travel, these napkins come handy anywhere you go and at any time. These napkins are of 23x23 dimension.",48.0,48.0,33.33333333333333
8783,Air Freshner - Rose,Cleaning & Household,Fresheners & Repellents,Wonder Fresh ,58.0,58.0,Air Freshener,4.1,"We are a established supplierÂ air freshener, glass cleaners, insecticide chalk, liquid soap, naphthalene balls, sainicubes, soap strips, tissue pack etc.",58.0,58.0,0.0
8788,"Disinfectant Surface & Floor Cleaner Liquid - Citrus, Kills 99.9% Germs",Cleaning & Household,All Purpose Cleaners,Lizol,809.0,809.0,Floor & Other Cleaners,4.3,"Lizol is the No.1 floor cleaning brand in India recommended by the Indian Medical Association. Keep your home fresh and germ-free with Lizol. Lizol Disinfectant Surface Cleaner contains a distinctive formulation that kills 99.9% germs and gives 10 times better cleaning and germ protection than standard Phenyls, keeping the whole house cleaner, shinier and germ-free. The product is available in 7 different fragrances and is perfect for floors, tiles, sinks, kitchen counters and all other washable surfaces in your home.
We are constantly exposed to micro-organisms. Exposure to bad germs can cause food poisoning, diarrhoea and other kinds of sickness in individuals. The best way to fight them off is Lizol. Lizol floor cleaner saves you from harmful germs whilst keeping you and your home clean. So, practice good hygiene and cleanliness with Lizol that will prevent these problems.
Lizol disinfectant surface cleaning liquid can be used either directly or diluted. For light soiled areas you should clean with Lizol mixed with water, whereas, for heavily soiled areas it can be used without any dilution. Lizol takes complete care of your family by keeping your kitchen, bathroom, floor and furniture clean.",809.0,809.0,0.0
8799,"Tape - Brown, 5K, 2 inches",Cleaning & Household,Stationery,Wonder,151.0,151.0,"Scissor, Glue & Tape",3.9,"The Tape works as an adhesive and can be used to stick broken objects. It is also suitable to use for packaging cartons, export packages, gift hampers and more. It is a must have in every home and office as it can be used for various crafts.",151.0,151.0,0.0
8802,"Kitchen Roll - 2 Ply, 1 Roll",Cleaning & Household,"Disposables, Garbage Bag",Paseo,95.0,95.0,Toilet Paper,3.8,"The perfect blend of pure fibre and pure softness ensuring you get nothing less than pure luxury. The PASEO difference lies in tissues that are free from optical brightening agent, hypoallergenic and made from 100% virgin plantation fibre.",95.0,95.0,0.0
8806,"In-Cistern Toilet Cleaner Blocks, Aquamarine",Cleaning & Household,All Purpose Cleaners,Harpic,299.0,370.0,Toilet Cleaners,4.2,"Harpic Flushmatic toilet cleaning cistern block is a drop-in tank tablet that can be used for any accessible cistern. It works by creating strong foam every time you flush the toilet, which helps to maintain cleanliness in the toilet bowl. Harpic Flushmatic toilet cleaner works from inside the cistern to release a dose of powerful detergent with every flush. Distributing the liquid across the bowl, helps you maintain a hygienic and deodorized toilet and prevents the build-up of stains giving you a continuous clean toilet. You need not remove the pleated cloth wrapper on the block as this will dissolve in the water till it finishes, just drops the block directly into the cistern. For best results, drop it at the opposite end to the water inlet, by the float. Wait for 10 minutes to let the block mix, before the first flush. Harpic Flushmatic toilet cistern block is a toilet hygiene product for continuous cleaning without any mess. It is touch-free and hygienic and dissolves completely when finished. A single block lasts up to a month depending upon individual usage. Also, it lets you know when it needs replacing as the colour of the flushed water starts to fade. To keep the freshness going replace it with a new Flushmatic block as soon as the colour starts to fade. Harpic Flushmatic toilet cleaner is safe to be used with septic tanks and all other toilet cleaners. For regular cleaning, use Harpic liquid.",299.0,299.0,19.18918918918919
8809,Scrub Pad - 2 in 1 (Sponge+Scrub Pad),Cleaning & Household,"Mops, Brushes & Scrubs",Good Home,30.0,30.0,"Utensil Scrub-Pad, Glove",3.9,"2 in 1 handyÃ‚ - With a tough scrubber on one side and soft sponge on the other, the handy 2 in 1 is the best for delicate kitchenware. It fits easily in your hands and soaks up and dispenses perfect amounts of soap. With assorted scrubbers for every type of cooking utensil Good Home Scrubbers are designed for convenience and care. Not only are these scrubbers extremely effective on stains, they are gentle on your hands. Get Good Home variety of scrubbers and watch your vessels sparkle.Ã‚",30.0,30.0,0.0
8815,Cockroach Killer Spray,Cleaning & Household,Fresheners & Repellents,Baygon,248.0,266.0,Insect Repellent,4.0,"Baygon Cockroach Killer knocks down Cockroaches in less than 30 secs. Its Dual Active Formula with superior actives - Cypermethrin and Imiprothrin - kills cockroaches that may spread germs causing Cholera, Diarrhea and Typhoid. It keeps working for up to 4 weeks. Its has a new wand for special control application that helps reach tough corners killing even hidden cockroaches.",248.0,248.0,6.7669172932330826
8823,"Silky Round Basket 333 - Big, With Lid",Cleaning & Household,Bins & Bathroom Ware,Nakoda,249.0,262.0,Buckets & Mugs,5.0,"This Nakoda stylish silky woven design round storage container basket for multipurpose usage at any place for any reason - use it indoor or outdoor. This basket is made from high thickness plastic and has ample space for keeping multiple items at the home, office or storing vegetable, fruits etc in kitchen.",249.0,249.0,4.961832061068702
8826,Luxor Plastic Fruit & Vegetable Plastic Basket With Lid - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware,Aristo,109.0,128.0,"Laundry, Storage Baskets",2.7,"Premium Quality BPA-free basket having a smooth finish, highest quality, lightweight and appealing design. Multi-Utility Baskets: - Store anything and everything, from fruits, vegetables, pantry items, toiletries, beauty products, school supplies, mail, magazines and more.",109.0,109.0,14.84375
8828,Spin Mop With Twin Bucket,Cleaning & Household,"Mops, Brushes & Scrubs",Gala,1299.0,1699.0,"Mops, Wipers",2.7,"Gala Indias one of the largest manufacturer of home cleaning tools brings out Twin bucket Spin Mop, its compact shape saves storage space. Twin bucket mop helps in separating dirty water from clean water giving you a spangled cleaning experience. Made of high-grade plastic, it is light, durable and easy to use. A unique way of inbuilt rinser along with solution dispenser function allows you to use just the right amount of water and solution to avoid wastage. it's a quick and easy way to a spotless floor.Benefits: This mop has extra-absorbent microfibers with a 360-degree spinner. Now cleaning your house is an easy job with this advanced mop. It comes in various colour.",1299.0,1299.0,23.543260741612713
8831,Disney Belle Princess Metal Kids Pencil Pouch Bag With Zip Closure,Cleaning & Household,Stationery,Hm International,149.0,149.0,Exam Pads & Pencil Box,4.1,"Get creative with this character print pencil pouch for your little one. Fit pencils, pens and other required stationery material into this convenient pencil box. Spacious one compartment pencil pouch with easy zip closure for little hands to handle. With a character design printed on the cover, kids are sure to love this pencil pouch.",149.0,149.0,0.0
8842,"Multipurpose Disinfectant Liquid - Kills 99.9% Germs, Anti-bacterial, for Home & Personal Hygiene, Aqua Fragrance",Cleaning & Household,Detergents & Dishwash,Godrej Protekt,232.5,310.0,Dishwash Liquids & Pastes,4.2,"Godrej Protekt Multipurpose Disinfectant Liquid kills 99.9% germs and bacteria with every use, thus providing protection to you and your family. It is a multipurpose cleaner sanitizes your home and also helps maintain personal hygiene. It’s refreshing Citrus fragrance leaves behind the space smelling fresh and pleasant. 
It can be used in bath, laundry, floor and surface cleaning, leaving everything clean and fresh.
It has many uses like Bathing, Shaving, Laundry, Bathroom, Refrigerator, Kitchen, Floor Cleaning, etc.
Available in two variants: Aqua and Citrus.",232.5,232.5,25.0
8846,Scissors - Trim Cut,Cleaning & Household,Stationery,Cartini,123.0,125.0,"Scissor, Glue & Tape",3.7,"Cartini trim cut scissors is a perfect tool for the precise cutting moustache, beard & brow hair. It has large finger holes for added control. It is designed to cut the entire length of the blade. It cut small amounts of hair at a time and work symmetrically.",123.0,123.0,1.6
8849,Original Milti Purpose Cleaner,Cleaning & Household,All Purpose Cleaners,ELBOW GREASE,299.0,299.0,Imported Cleaners,4.2,"Elbow Grease® is the truly fantastic No.1 Degreaser for use all around the home. The ultimate power degreasing properties of this cleaner make it the only cleaner you will ever need. The uses are endless! Multipurpose degreaser and cleaner. Removes grease and oil from fabrics, metal and plastic. Works with kitchen surfaces and bathrooms. Elbow Grease cleans pots, pans, kitchen tops, ovens, microwaves, showers, sinks, BBQs, and much, much more.",299.0,299.0,0.0
8852,Multi Surface Protectant,Cleaning & Household,All Purpose Cleaners,Raho Safe,249.0,349.0,Floor & Other Cleaners,4.0,"This spray helps in protection from 99.9% germs and bacteria. If put in a simpler way, once sprayed onto
any surface especially the hard ones, the surface won’t catch on to any more germs even after coming
in contact with another surface.
It needs to be sprayed once every 7 days.",249.0,249.0,28.653295128939828
8853,Cone - Sandalwood & Camphor,Cleaning & Household,Fresheners & Repellents,CamPure,199.0,199.0,Camphor & Wicks,4.3,"CamPure Sandalwood & Camphor Cone provides both protection from mosquitoes and gives a refreshing fragrance. It does not consist of any fillers, additives or bases. It's a first of its kind scent that spreads quickly to neutralize and remove unpleasant odours, protects you from mosquitoes, flies, insects and preserves your clothes from dampness and moth infestations. It is made from an extract of the pine tree and is, therefore, a natural and organic product. 
CamPure from the house of Mangalam brings to you a range of products which are created from ancient knowledge for a modern lifestyle! Our Camphor Cones are great to place by your bedside, hang in your closet, restroom and car. Enjoy its refreshing fragrance as it repels mosquitoes and even preserves your clothes (doesn’t stain your clothes). Get your CamPure Camphor Cone today and redefine your environment and health!",199.0,199.0,0.0
