customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Segment_Name
C06000,2,13,11379.6,5,4,4,544,2,Standard (MHH)
C06001,66,2,1200.0,1,1,1,111,0,Hibernating
C06002,10,12,12159.47,4,4,4,444,2,Standard (MHH)
C06003,30,8,7477.25,2,2,3,223,1,Standard (MMM)
C06004,3,15,10397.0,5,5,4,554,2,Standard (MHH)
C06005,3,19,21290.49,5,5,5,555,2,Standard (MHH)
C06006,40,8,8158.01,1,2,3,123,1,Standard (MMM)
C06007,62,8,5395.0,1,2,2,122,0,Hibernating
C06008,41,6,3904.0,1,1,1,111,1,Standard (MMM)
C06009,12,11,12970.0,4,4,4,444,2,Standard (MHH)
C06010,17,14,13865.13,3,4,4,344,2,Standard (MHH)
C06011,44,6,4694.0,1,1,2,112,1,Standard (MMM)
C06012,3,16,14679.8,5,5,5,555,2,Standard (MHH)
C06013,22,14,9469.5,2,4,3,243,2,Standard (MHH)
C06014,17,12,12293.19,3,4,4,344,2,Standard (MHH)
C06015,58,16,13742.36,1,5,4,154,2,Standard (MHH)
C06016,4,8,4584.03,5,2,2,522,1,Standard (MMM)
C06017,24,9,6716.46,2,3,2,232,1,Standard (MMM)
C06018,3,4,2129.0,5,1,1,511,1,Standard (MMM)
C06019,50,5,2439.81,1,1,1,111,1,Standard (MMM)
C06020,19,9,10215.0,3,3,4,334,1,Standard (MMM)
C06021,51,4,4217.0,1,1,1,111,0,Hibernating
C06022,125,2,1211.0,1,1,1,111,0,Hibernating
C06023,22,5,7489.3,2,1,3,213,1,Standard (MMM)
C06024,73,4,2901.1,1,1,1,111,0,Hibernating
C06025,101,2,820.0,1,1,1,111,0,Hibernating
C06026,12,9,8998.0,4,3,3,433,1,Standard (MMM)
C06027,34,4,4544.5,2,1,2,212,1,Standard (MMM)
C06028,13,9,8907.75,3,3,3,333,1,Standard (MMM)
C06029,9,8,7441.75,4,2,3,423,1,Standard (MMM)
C06030,28,12,16326.54,2,4,5,245,2,Standard (MHH)
C06031,26,18,14200.99,2,5,5,255,2,Standard (MHH)
C06032,12,11,11283.01,4,4,4,444,2,Standard (MHH)
C06033,3,3,1698.0,5,1,1,511,1,Standard (MMM)
C06034,9,8,17264.940000000002,4,2,5,425,2,Standard (MHH)
C06035,23,14,19485.930000000004,2,4,5,245,2,Standard (MHH)
C06036,3,13,9217.5,5,4,3,543,2,Standard (MHH)
C06037,14,10,7725.05,3,3,3,333,1,Standard (MMM)
C06038,35,12,13790.2,2,4,4,244,2,Standard (MHH)
C06039,56,9,5969.0,1,3,2,132,1,Standard (MMM)
C06040,24,10,10361.04,2,3,4,234,1,Standard (MMM)
C06041,3,15,10397.0,5,5,4,554,2,Standard (MHH)
C06042,4,18,18948.090000000004,5,5,5,555,2,Standard (MHH)
C06043,16,10,8788.3,3,3,3,333,1,Standard (MMM)
C06044,33,7,4469.03,2,2,2,222,1,Standard (MMM)
C06045,12,10,8727.5,4,3,3,433,1,Standard (MMM)
C06046,20,4,2750.0,3,1,1,311,1,Standard (MMM)
C06047,40,2,3223.2,1,1,1,111,1,Standard (MMM)
C06048,16,11,16666.08,3,4,5,345,2,Standard (MHH)
C06049,32,9,7200.0,2,3,3,233,1,Standard (MMM)
C06050,6,14,12142.75,5,4,4,544,2,Standard (MHH)
C06051,11,13,13851.8,4,4,4,444,2,Standard (MHH)
C06052,14,13,9600.0,3,4,3,343,2,Standard (MHH)
C06053,6,10,5494.0,5,3,2,532,1,Standard (MMM)
