customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Segment_Name
C12000,3,4,2412.4,5,1,2,512,2,Standard (MMM)
C12001,31,10,4189.1,2,3,4,234,2,Standard (MMM)
C12002,89,4,879.15,1,1,1,111,0,Hibernating
C12003,62,5,1217.6,1,1,1,111,0,Hibernating
C12004,17,13,5156.37,3,4,4,344,1,Standard (MHH)
C12005,45,5,1703.5,1,1,1,111,0,Hibernating
C12006,14,20,9771.2,3,5,5,355,1,Standard (MHH)
C12007,19,9,3532.5,3,3,3,333,2,Standard (MMM)
C12008,33,5,1524.0,2,1,1,211,2,Standard (MMM)
C12009,20,10,3188.37,2,3,3,233,2,Standard (MMM)
C12010,8,7,3378.9,4,2,3,423,2,Standard (MMM)
C12011,67,5,3074.94,1,1,3,113,0,Hibernating
C12012,11,5,1087.9,4,1,1,411,2,Standard (MMM)
C12013,10,20,6903.75,4,5,5,455,1,Standard (MHH)
C12014,20,12,4202.95,2,4,4,244,1,Standard (MHH)
C12015,29,6,1117.9,2,1,1,211,2,Standard (MMM)
C12016,3,8,2086.2,5,2,2,522,2,Standard (MMM)
C12017,36,7,2443.9,1,2,2,122,2,Standard (MMM)
C12018,18,10,4482.25,3,3,4,334,2,Standard (MMM)
C12019,34,9,2572.05,1,3,2,132,2,Standard (MMM)
C12020,29,12,4224.400000000001,2,4,4,244,1,Standard (MHH)
C12021,61,3,727.0,1,1,1,111,0,Hibernating
C12022,5,9,4505.8,5,3,4,534,2,Standard (MMM)
C12023,3,10,3166.0,5,3,3,533,2,Standard (MMM)
C12024,4,7,2145.95,5,2,2,522,2,Standard (MMM)
C12025,6,14,5017.65,4,5,4,454,1,Standard (MHH)
C12026,4,20,6055.55,5,5,5,555,1,Standard (MHH)
C12027,11,12,6173.35,4,4,5,445,1,Standard (MHH)
C12028,24,4,970.0,2,1,1,211,2,Standard (MMM)
C12029,2,5,1638.5,5,1,1,511,2,Standard (MMM)
C12030,2,10,1542.35,5,3,1,531,2,Standard (MMM)
C12031,27,10,4530.3,2,3,4,234,2,Standard (MMM)
C12032,82,3,503.0,1,1,1,111,0,Hibernating
C12033,67,11,3900.5,1,4,4,144,0,Hibernating
C12034,3,16,6980.79,5,5,5,555,1,Standard (MHH)
C12035,66,4,1310.0,1,1,1,111,0,Hibernating
C12036,6,5,1955.45,4,1,2,412,2,Standard (MMM)
C12037,9,10,2986.6,4,3,3,433,2,Standard (MMM)
C12038,21,6,2426.0,2,1,2,212,2,Standard (MMM)
C12039,43,10,3714.8,1,3,3,133,2,Standard (MMM)
C12040,50,15,11618.5,1,5,5,155,1,Standard (MHH)
C12041,30,4,857.0,2,1,1,211,2,Standard (MMM)
C12042,15,17,4825.55,3,5,4,354,1,Standard (MHH)
C12043,5,11,5111.15,5,4,4,544,1,Standard (MHH)
C12044,12,11,4876.6,3,4,4,344,1,Standard (MHH)
C12045,21,9,4198.4,2,3,4,234,2,Standard (MMM)
C12046,70,7,3568.6,1,2,3,123,0,Hibernating
C12047,3,7,3450.9,5,2,3,523,2,Standard (MMM)
C12048,22,2,180.0,2,1,1,211,2,Standard (MMM)
C12049,69,9,3936.2,1,3,4,134,0,Hibernating
C12050,31,4,1345.8,2,1,1,211,2,Standard (MMM)
